Product Name,Maker,Color,Model,Category,Balance Qty,Minimum Qty,Discount %
UNIT -- LCD HUAWEI MATE 10 LITE BLACK,HUAWEI,BLACK,MATE 10 LITE,LCD,1,1,0
UNIT -- LCD HUAWEI MATE 10 LITE WHITE,HUAWEI,WHITE,MATE 10 LITE,LCD,115,1,0
UNIT -- LCD HUAWEI Y5-2 BLACK,HUAWEI,BLACK,Y5-2,LCD,83,1,0
UNIT -- LCD HUAWEI Y5 2017 BLACK,HUAWEI,BLACK,Y5 2017,LCD,0,1,0
UNIT -- LCD HUAWEI P9 LITE BLACK,HUAWEI,BLACK,P9 LITE,LCD,0,1,0
UNIT -- LCD HUAWEI P9 LITE WHITE,HUAWEI,WHITE,P9 LITE,LCD,0,1,0
UNIT -- LCD HUAWEI P9 LITE GOLD,HUAWEI,GOLD,P9 LITE,LCD,0,1,0
UNIT -- LCD HUAWEI Y5 2017 WHITE,HUAWEI,WHITE,Y5 2017,LCD,19,1,0
UNIT -- LCD HUAWEI Y5 2017 GOLD,HUAWEI,GOLD,Y5 2017,LCD,0,1,0
UNIT -- LCD HUAWEI HONOR 8 LITE GOLD,HUAWEI,GOLD,HONOR 8 LITE,LCD,53,1,0
UNIT -- LCD OPPO A71 WHITE,OPPO,WHITE,A71,LCD,0,1,0
UNIT -- LCD OPPO A71 BLACK,OPPO,BLACK,A71,LCD,64,1,0
UNIT -- LCD HUAWEI NOVA 2 PLUS WHITE,HUAWEI,WHITE,NOVA 2 PLUS,LCD,0,1,0
UNIT -- LCD HUAWEI NOVA 2 PLUS BLACK,HUAWEI,BLACK,NOVA 2 PLUS,LCD,0,1,0
UNIT -- LCD HUAWEI NOVA 2 PLUS GOLD,HUAWEI,GOLD,NOVA 2 PLUS,LCD,0,1,0
UNIT -- LCD HUAWEI Y7 PRIME GOLD,HUAWEI,GOLD,Y7 PRIME,LCD,0,1,0
UNIT -- LCD HUAWEI Y7 PRIME WHITE,HUAWEI,WHITE,Y7 PRIME,LCD,27,1,0
UNIT -- LCD HUAWEI Y7 PRIME BLACK,HUAWEI,BLACK,Y7 PRIME,LCD,3,1,0
UNIT -- LCD OPPO F7 BLACK,OPPO,BLACK,F7,LCD,234,1,0
UNIT -- LCD HUAWEI Y7 PRIME 2018 WHITE,HUAWEI,WHITE,Y7 PRIME 2018,LCD,863,1,0
UNIT -- LCD HUAWEI Y7 PRIME 2018 BLACK,HUAWEI,BLACK,Y7 PRIME 2018,LCD,0,1,0
BQ IC -- LED SAM J7 GOLD,SAM,GOLD,J7,LED,0,1,0
BQ IC -- LED SAM J7 GRAY,SAM,GRAY,J7,LED,0,1,0
BQ IC -- LED SAM J7 WHITE,SAM,WHITE,J7,LED,0,1,0
UNIT IC -- LED APPLE IPHONE X GX BLACK,APPLE,BLACK,IPHONE X GX,LED,564,1,0
UNIT -- LCD HUAWEI HONOR 9 LITE BLACK,HUAWEI,BLACK,HONOR 9 LITE,LCD,36,1,0
UNIT -- LCD HUAWEI HONOR 9 LITE GOLD,HUAWEI,GOLD,HONOR 9 LITE,LCD,0,1,0
UNIT -- LCD HUAWEI HONOR 9 LITE WHITE,HUAWEI,WHITE,HONOR 9 LITE,LCD,0,1,0
UNIT -- LCD HUAWEI HONOR 9 LITE BLUE,HUAWEI,BLUE,HONOR 9 LITE,LCD,65,1,0
UNIT -- LCD HUAWEI 7X BLACK,HUAWEI,BLACK,7X,LCD,136,1,0
UNIT -- LCD HUAWEI 7X WHITE,HUAWEI,WHITE,7X,LCD,0,1,0
UNIT -- LCD HUAWEI Y5 PRIME 2018 BLACK,HUAWEI,BLACK,Y5 PRIME 2018,LCD,919,1,0
UNIT -- LCD HUAWEI Y6 PRIME 2018/7A BLACK,HUAWEI,BLACK,Y6 PRIME 2018/7A,LCD,398,1,0
UNIT -- LCD HUAWEI Y9 PRIME 2018 BLACK,HUAWEI,BLACK,Y9 PRIME 2018,LCD,49,1,0
